Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
Continental Credit Control,0.0,,2780337.0,,Debt collection,2018
"Continental Currency Services, Inc.",0.0,,3102940.0,,Debt collection,2018
"Continental Finance Company, LLC",0.0,,2770397.0,,Debt collection,2018
"Continental Services Group, Inc. d/b/a ConServe",0.0,,2770857.0,,Debt collection,2018
Controlled Credit Corporation,0.0,,2779396.0,,Debt collection,2018
"Convergence Acquisitions, LLC",0.0,,2961271.0,,Debt collection,2018
"Convergent Resources, Inc.",0.0,,2768979.0,,Debt collection,2018
Convergys,0.0,,2774510.0,,Debt collection,2018
Cooling & Winter LLC,0.0,,2774760.0,,Debt collection,2018
Cordoza & Wexler Recovery Services,0.0,,2777618.0,,Debt collection,2018
"CoreTitle, LLC",0.0,,3024650.0,,Debt collection,2018
"Cornerstone Holdings, Inc.",0.0,,2788062.0,,Debt collection,2018
"Cornerstone Legal Group, LLC",0.0,,3037125.0,,Debt collection,2018
Cottonwood Financial Ltd.,0.0,,2769710.0,,Debt collection,2018
Couch Conville & Blitt LLC,0.0,,2803430.0,,Debt collection,2018
Courtesy Finance LLC,0.0,,2976443.0,,Debt collection,2018
"Credence Resource Management, LLC",0.0,,2770707.0,,Debt collection,2018
"Credit Adjustment Services of Harrisburg, Inc",0.0,,3047561.0,,Debt collection,2018
Credit Adjustments Inc,0.0,,2812203.0,,Debt collection,2018
"Credit Associates, Inc. (MO)",0.0,,2871725.0,,Debt collection,2018
Credit Bureau Central Inc (MS),0.0,,2950470.0,,Debt collection,2018
"Credit Bureau Collection Services, Inc.",0.0,,2779574.0,,Debt collection,2018
"Credit Bureau Data, Inc.",0.0,,2793745.0,,Debt collection,2018
"Credit Bureau Financial Services, Inc.",0.0,,2871523.0,,Debt collection,2018
Credit Bureau Services Association,0.0,,2784507.0,,Debt collection,2018
Credit Bureau Services Inc.,0.0,,2849422.0,,Debt collection,2018
"Credit Bureau Services, LLC",0.0,,3033756.0,,Debt collection,2018
"Credit Bureau Systems, Inc.",0.0,,2782682.0,,Debt collection,2018
"Credit Bureau of Bessemer, Inc",0.0,,2783972.0,,Debt collection,2018
"Credit Bureau of Canyon, Inc",0.0,,2900322.0,,Debt collection,2018
Credit Bureau of Carbon County,0.0,,2777409.0,,Debt collection,2018
"Credit Bureau of Farmington, Inc",0.0,,3081821.0,,Debt collection,2018
"Credit Bureau of Jamestown, Inc.",0.0,,2786304.0,,Debt collection,2018
"Credit Bureau of Jonesboro, Inc.",0.0,,5606341.0,,Debt collection,2018
"Credit Bureau of Lancaster County, Inc.",0.0,,2795200.0,,Debt collection,2018
"Credit Bureau of Lewiston-Clarkston, Inc",0.0,,2806686.0,,Debt collection,2018
"Credit Bureau of Marianna, Inc",0.0,,2799060.0,,Debt collection,2018
Credit Bureau of Northern California Collections Services Inc,0.0,,3030593.0,,Debt collection,2018
Credit Bureau of San Luis Obispo & Santa Barbara Counties,0.0,,2931339.0,,Debt collection,2018
"Credit Bureau of York, Inc.",0.0,,2904289.0,,Debt collection,2018
"Credit Bureau of the South, Inc.",0.0,,2808938.0,,Debt collection,2018
Credit Card Acquisitions Group,0.0,,2829688.0,,Debt collection,2018
Credit Card Receivables Fund Incorporated,0.0,,2771810.0,,Debt collection,2018
"Credit Center, LLC",0.0,,2814085.0,,Debt collection,2018
"Credit Central Holdings, LLC",0.0,,2786650.0,,Debt collection,2018
"Credit Clearing House of America, Inc.",0.0,,2849946.0,,Debt collection,2018
"Credit Collection Partners, Inc.",0.0,,2820269.0,,Debt collection,2018
"Credit Collections U.S.A., L.L.C.",0.0,,2793472.0,,Debt collection,2018
"Credit Consulting Services, Inc.",0.0,,2772279.0,,Debt collection,2018
"Credit Control Company, Inc.",0.0,,2816444.0,,Debt collection,2018
Credit Corp Solutions Inc.,0.0,,2771306.0,,Debt collection,2018
"Credit Counsel, Inc.",0.0,,2844845.0,,Debt collection,2018
"Credit Financial Services, lnc",0.0,,2803443.0,,Debt collection,2018
"Credit Information Bureau, Inc.",0.0,,2885954.0,,Debt collection,2018
Credit International Corporation,0.0,,2782974.0,,Debt collection,2018
"Credit Karma, Inc.",0.0,,2802656.0,,Debt collection,2018
Credit Lending Services Inc.,0.0,,2978191.0,,Debt collection,2018
"Credit Management Control, Inc.",0.0,,2772529.0,,Debt collection,2018
"Credit Management Services, Inc.",0.0,,2810667.0,,Debt collection,2018
Credit Management Systems,0.0,,2783119.0,,Debt collection,2018
Credit One LLC,0.0,,2955534.0,,Debt collection,2018
Credit Plus Inc,0.0,,3032549.0,,Debt collection,2018
"Credit Protection Association, L.P.",0.0,,2769507.0,,Debt collection,2018
"Credit Service Company, INC",0.0,,2800413.0,,Debt collection,2018
Credit Service International Corp,0.0,,2838960.0,,Debt collection,2018
"Credit Service of Central Washington, Inc.",0.0,,2821857.0,,Debt collection,2018
"Credit Service, Inc",0.0,,2784777.0,,Debt collection,2018
"Credit Services Corporation, LLC",0.0,,2798172.0,,Debt collection,2018
"Credit Services, Inc.",0.0,,3103731.0,,Debt collection,2018
"Credit Shop, Incorporated",0.0,,3027058.0,,Debt collection,2018
Credit Solutions,0.0,,2974862.0,,Debt collection,2018
Credit Solutions LLC,0.0,,2786769.0,,Debt collection,2018
"Credit Solutions, LLC (KY)",0.0,,2866628.0,,Debt collection,2018
"Credit Systems International, Inc.",0.0,,5557434.0,,Debt collection,2018
"Credit Systems of the Fox Valley, Inc.",0.0,,2793199.0,,Debt collection,2018
"Credit Union Mortgage Association, Inc.",0.0,,2967222.0,,Debt collection,2018
"Creditech, Inc.",0.0,,2787946.0,,Debt collection,2018
"Credito Real USA Finance, LLC",0.0,,2799242.0,,Debt collection,2018
Creditor Advocates Inc,0.0,,2867863.0,,Debt collection,2018
Creditors Bureau Associates,0.0,,2820576.0,,Debt collection,2018
"Creditors Collection Bureau, Inc.",0.0,,2786839.0,,Debt collection,2018
Creditors Collection Service,0.0,,2774951.0,,Debt collection,2018
Creditors Service Bureau Inc,0.0,,2901355.0,,Debt collection,2018
"Creditors Specialty Northwest, Inc.",0.0,,2874125.0,,Debt collection,2018
Creditors Specialty Service Inc,0.0,,2829121.0,,Debt collection,2018
"Creditors' Protection Service, Inc.",0.0,,2882264.0,,Debt collection,2018
"Creditors' Service Bureau of Niles, Inc",0.0,,3111517.0,,Debt collection,2018
"Credits, Incorporated",0.0,,2904760.0,,Debt collection,2018
"Crescent City Credit Recovery, Inc.",0.0,,2881730.0,,Debt collection,2018
Critical Resolution Mediation LLC,0.0,,2804075.0,,Debt collection,2018
"CrossCheck, Inc.",0.0,,2977648.0,,Debt collection,2018
"Crown Asset Management, LLC",0.0,,2776282.0,,Debt collection,2018
"Crown Holdings, LLC",0.0,,5659686.0,,Debt collection,2018
Cuzco Capital Investment Management,0.0,,2988403.0,,Debt collection,2018
"Cypress Financial Recoveries, LLC",0.0,,2997029.0,,Debt collection,2018
"D&A Services, LLC",0.0,,2827840.0,,Debt collection,2018
D. SCOTT CARRUTHERS,0.0,,5538897.0,,Debt collection,2018
D2 Management LLC,0.0,,2777246.0,,Debt collection,2018
DAS Inc,0.0,,2794304.0,,Debt collection,2018
"DCI Credit Services, Inc.",0.0,,2785437.0,,Debt collection,2018
DCN Holdings Inc.,0.0,,5539914.0,,Debt collection,2018
DCQ LLC,0.0,,2851358.0,,Debt collection,2018
DEBT CREDIT SERVICES,0.0,,2772786.0,,Debt collection,2018
DEEP SOUTH FINANCIAL SERVICES INC.,0.0,,2896294.0,,Debt collection,2018
DFC Global Corp.,0.0,,2795388.0,,Debt collection,2018
"DIRECMANAGEMENT, INC.",0.0,,2796257.0,,Debt collection,2018
DISCOVER BANK,0.0,,5542736.0,,Debt collection,2018
"DLC, LLC",0.0,,2826167.0,,Debt collection,2018
"DMB Financial, LLC",0.0,,3002664.0,,Debt collection,2018
"DPL Associates, Ltd.",0.0,,2886135.0,,Debt collection,2018
"DRIVEiT Holdings, Inc.",0.0,,2829294.0,,Debt collection,2018
DRS Financial LLC,0.0,,2790598.0,,Debt collection,2018
"DYNAMIC RECOVERY SERVICES, INC.",0.0,,2788669.0,,Debt collection,2018
"Dana & Pariser Co.,L.P.A.",0.0,,2777065.0,,Debt collection,2018
"Danco Financial Services, LLC",0.0,,2834338.0,,Debt collection,2018
"Daniels Norelli Scully & Cecere, P.C.",0.0,,3001550.0,,Debt collection,2018
"Darnel Quick Recovery, Inc.",0.0,,2922122.0,,Debt collection,2018
"Data Search NY, Inc.",0.0,,2838612.0,,Debt collection,2018
"Data and Contact Management Solutions, LLC",0.0,,2776658.0,,Debt collection,2018
DataMax Corporation,0.0,,5540490.0,,Debt collection,2018
"David A. Gallo & Associates, LLP",0.0,,3032009.0,,Debt collection,2018
David E. Gray Attorney at Law LLC,0.0,,3064494.0,,Debt collection,2018
David N. Hull Attorney at Law P.C.,0.0,,2879735.0,,Debt collection,2018
"Davis and Goldmark, Inc.",0.0,,2889877.0,,Debt collection,2018
"De Lage Landen Finance, LLC",0.0,,2866044.0,,Debt collection,2018
Deatrick & Spies PSC,0.0,,2828482.0,,Debt collection,2018
Debt Management Incorporated,0.0,,2816368.0,,Debt collection,2018
"Debt Recovery Pro ,LLC",0.0,,2882674.0,,Debt collection,2018
"Debt Recovery Solutions, LLC",0.0,,2769705.0,,Debt collection,2018
Debt Relief Center,0.0,,2953046.0,,Debt collection,2018
Debt Solutions Inc,0.0,,2960684.0,,Debt collection,2018
"Del Toro Loan Servicing, Inc",0.0,,2958384.0,,Debt collection,2018
Delbert Services,0.0,,2823660.0,,Debt collection,2018
"Delev & Associates, LLC",0.0,,2823570.0,,Debt collection,2018
"Delmarva Collections, Inc.",0.0,,2820944.0,,Debt collection,2018
"Delta Management Associates, Inc.",0.0,,2769732.0,,Debt collection,2018
"Delta Management Group, Inc.",0.0,,2882050.0,,Debt collection,2018
"Delta Outsource Group, Inc.",0.0,,3043608.0,,Debt collection,2018
"Designed Receivable Solultions, Inc.",0.0,,2772679.0,,Debt collection,2018
"Devon Financial Services, Inc.",0.0,,2973183.0,,Debt collection,2018
"Diaz & Associates, Inc.",0.0,,2811903.0,,Debt collection,2018
"Dickinson Financial, LLC",0.0,,2768816.0,,Debt collection,2018
Direct Capital,0.0,,2888153.0,,Debt collection,2018
"Direct Recovery Services, LLC",0.0,,2772554.0,,Debt collection,2018
Ditech Financial LLC,0.0,,2776004.0,,Debt collection,2018
Diverse Financial Enterprises,0.0,,2808608.0,,Debt collection,2018
Diverse Funding Associates LLC,0.0,,2788042.0,,Debt collection,2018
Diversified Acceptance Corporation,0.0,,2836248.0,,Debt collection,2018
"Diversified Adjustment Service, Inc.",0.0,,2774262.0,,Debt collection,2018
"Diversified Consultants, Inc.",0.0,,13844698.0,,Debt collection,2018
Diversified Recovery Bureau LLC,0.0,,2780097.0,,Debt collection,2018
Diversified Recovery Services Inc.,0.0,,2821727.0,,Debt collection,2018
"Dobberstein Law Firm, LLC",0.0,,2899287.0,,Debt collection,2018
"Dominus Law and Recovery, LLC.",0.0,,2770242.0,,Debt collection,2018
"Donald G. Karpowich, Attorney-at-Law, PC",0.0,,2921860.0,,Debt collection,2018
"Dorough & Dorough, LLC",0.0,,2808537.0,,Debt collection,2018
"Douglas L. Brooks, PC",0.0,,3004769.0,,Debt collection,2018
"Douglas, Chancellor, Meyers and Associates, LLC",0.0,,2825509.0,,Debt collection,2018
"Dovenmuehle Mortgage, Inc.",0.0,,2799186.0,,Debt collection,2018
Dream Center Education Holdings,0.0,,2819026.0,,Debt collection,2018
"Drew Eckl & Farnham, LLP",0.0,,2782119.0,,Debt collection,2018
DriveTime,0.0,,2776338.0,,Debt collection,2018
"Duncan Solutions, lnc.",0.0,,2773688.0,,Debt collection,2018
Dunlap Gardiner LLP,0.0,,2961388.0,,Debt collection,2018
"Duvera Billing Services, LLC",0.0,,3007363.0,,Debt collection,2018
"Dyck-O'Neal, Inc.",0.0,,2867554.0,,Debt collection,2018
"Dynamic Recovery Solutions, LLC",0.0,,2769652.0,,Debt collection,2018
E*TRADE BANK,0.0,,2986263.0,,Debt collection,2018
"E. A. Uffman & Associates, Inc",0.0,,2790727.0,,Debt collection,2018
"ECMC Group, Inc.",0.0,,2770240.0,,Debt collection,2018
EDvantage LLC,0.0,,2851937.0,,Debt collection,2018
"EMCC Holdings, LLC",0.0,,2912294.0,,Debt collection,2018
"EMG ACQUISITION GROUP, LLC",0.0,,2831722.0,,Debt collection,2018
"EMORY ENTERPRISES, LLC",0.0,,2976179.0,,Debt collection,2018
ENCORE CAPITAL GROUP INC.,0.0,,5538908.0,,Debt collection,2018
"ENOVA INTERNATIONAL, INC.",0.0,,2770694.0,,Debt collection,2018
"EOS Holdings, Inc.",0.0,,5545667.0,,Debt collection,2018
"EQUIFAX, INC.",0.0,,2769054.0,,Debt collection,2018
ERC,0.0,,5537051.0,,Debt collection,2018
"ESCALLATE, LLC",0.0,,2838577.0,,Debt collection,2018
"EULER HERMES UMA, INC.",0.0,,2832719.0,,Debt collection,2018
"EVERETT ASSOCIATION OF CREDIT MEN, INC.",0.0,,2801586.0,,Debt collection,2018
"EVERGREEN PROFESSIONAL RECOVERIES, INC.",0.0,,2836414.0,,Debt collection,2018
"EXPERT GLOBAL SOLUTIONS, INC.",0.0,,2823719.0,,Debt collection,2018
"EZCORP, INC.",0.0,,2841497.0,,Debt collection,2018
"Eagle Accounts Group, Inc.",0.0,,2778069.0,,Debt collection,2018
"Eagle Financial Services, Inc.",0.0,,2948240.0,,Debt collection,2018
"Eagle Recovery Associates, Inc.",0.0,,5627249.0,,Debt collection,2018
"Early Warning Services, LLC",0.0,,2818003.0,,Debt collection,2018
"Eastern Account Systems of Connecticut, Inc.",0.0,,2771650.0,,Debt collection,2018
Eastern Asset Services LLC,0.0,,2837849.0,,Debt collection,2018
Eastern Management Group LLC,0.0,,2790539.0,,Debt collection,2018
"Eastern Revenue, Inc",0.0,,2781733.0,,Debt collection,2018
"Eastpoint Recovery Group, Inc",0.0,,2771618.0,,Debt collection,2018
Eaton Group Attorneys LLC,0.0,,2857000.0,,Debt collection,2018
Eblen Freed PC,0.0,,2878996.0,,Debt collection,2018
"Economic Recovery Consultants, Inc",0.0,,2904841.0,,Debt collection,2018
EdFinancial Services,0.0,,2778608.0,,Debt collection,2018
"Efficient Recovery Services, LLC",0.0,,3081245.0,,Debt collection,2018
"Elderlife Financial Services, LLC",0.0,,2979951.0,,Debt collection,2018
"Elevate Recoveries, LLC",0.0,,2834405.0,,Debt collection,2018
"Elite Financial Services, Inc.",0.0,,2782639.0,,Debt collection,2018
Elmview Management Services,0.0,,5960124.0,,Debt collection,2018
"Eltman Law, P.C.",0.0,,2842841.0,,Debt collection,2018
"Emerald AR Systems, LLC",0.0,,2786063.0,,Debt collection,2018
"Emerald Coast Collections, LLC",0.0,,2968375.0,,Debt collection,2018
"Emmett L. Goodman, Jr., LLC",0.0,,2834321.0,,Debt collection,2018
"Encircle Collections, Inc.",0.0,,2807928.0,,Debt collection,2018
Endpoint Resolution Services (ERS),0.0,,2895935.0,,Debt collection,2018
"Enerson Law, LLC.",0.0,,2976145.0,,Debt collection,2018
"Equinox Financial Management Solutions, Inc.",0.0,,2821997.0,,Debt collection,2018
Equitable Acceptance Corporation,0.0,,5596026.0,,Debt collection,2018
"Erin Capital Management, LLC",0.0,,2798618.0,,Debt collection,2018
Essential Lending Inc,0.0,,3036048.0,,Debt collection,2018
"Estate Information Services, LLC",0.0,,2779987.0,,Debt collection,2018
Everest Receivable Services Inc.,0.0,,2809586.0,,Debt collection,2018
"Evergreen Acquistions, LLC",0.0,,2793377.0,,Debt collection,2018
Evergreen Financial Services Inc.,0.0,,2773692.0,,Debt collection,2018
"Ewing & Ewing Attorneys, P.C.",0.0,,3043584.0,,Debt collection,2018
"Executive Financial Consultants, Inc",0.0,,2796822.0,,Debt collection,2018
Exeter Finance Corp.,0.0,,2776586.0,,Debt collection,2018
"Expedite Financial, Inc",0.0,,2988335.0,,Debt collection,2018
Experian Information Solutions Inc.,0.0,,2769248.0,,Debt collection,2018
"Express Collections, Inc.",0.0,,2777870.0,,Debt collection,2018
"Express Recovery Services, Inc.",0.0,,2790122.0,,Debt collection,2018
F&M Capital LLC,0.0,,2993460.0,,Debt collection,2018
"F.H. Cann & Associates, Inc.",0.0,,5565090.0,,Debt collection,2018
FACTUAL DATA CORP.,0.0,,2847762.0,,Debt collection,2018
"FAIR COLLECTIONS & OUTSOURCING, INC.",0.0,,5544744.0,,Debt collection,2018
FC HoldCo LLC,0.0,,2780425.0,,Debt collection,2018
"FCC Finance, LLC",0.0,,2797019.0,,Debt collection,2018
FCI Lender Services Inc.,0.0,,2858778.0,,Debt collection,2018
"FEDChex Recovery, LLC",0.0,,2853755.0,,Debt collection,2018
"FEDERAL PACIFIC CREDIT COMPANY, LLC",0.0,,2770511.0,,Debt collection,2018
FERRANTE ASSOCIATE,0.0,,3065785.0,,Debt collection,2018
"FIDELIS RECOVERY MANAGEMENT, LLC",0.0,,3028504.0,,Debt collection,2018
"FIDELITY CAPITAL HOLDINGS, INC",0.0,,2768998.0,,Debt collection,2018
FIFTH THIRD FINANCIAL CORPORATION,0.0,,2776075.0,,Debt collection,2018
FINEX Group LLC,0.0,,2826654.0,,Debt collection,2018
FIRST ADVANTAGE CORPORATION,0.0,,2821319.0,,Debt collection,2018
FIRST AMERICAN FINANCIAL CORPORATION,0.0,,2855384.0,,Debt collection,2018
"FIRST CITIZENS BANCSHARES, INC.",0.0,,2797778.0,,Debt collection,2018
FIRST CONTINENTAL MORTGAGE LTD,0.0,,2807029.0,,Debt collection,2018
"FIRST FINANCIAL SERVICES, INC.",0.0,,2879225.0,,Debt collection,2018
"FIRST HAWAIIAN, INC.",0.0,,2926656.0,,Debt collection,2018
FIRST HERITAGE CREDIT LLC,0.0,,2808741.0,,Debt collection,2018
FIRST HORIZON BANK,0.0,,2823631.0,,Debt collection,2018
"FIRST INTERSTATE BANCSYSTEM, INC.",0.0,,2955828.0,,Debt collection,2018
FIRST NATIONAL BANK OF OMAHA,0.0,,2793901.0,,Debt collection,2018
FIRST NATIONAL BANK OF PENNSYLVANIA,0.0,,2802314.0,,Debt collection,2018
FIRSTBANK,0.0,,2994745.0,,Debt collection,2018
FIRSTBANK PUERTO RICO,0.0,,2854762.0,,Debt collection,2018
"FLAGSTAR BANK, FSB",0.0,,2821253.0,,Debt collection,2018
"FMA Alliance, Ltd.",0.0,,2782844.0,,Debt collection,2018
FMS Inc.,0.0,,2770252.0,,Debt collection,2018
FORD MOTOR CREDIT CO.,0.0,,2782825.0,,Debt collection,2018
FULTON FINANCIAL CORPORATION,0.0,,2961534.0,,Debt collection,2018
"Fair Resolutions, Inc.",0.0,,3070342.0,,Debt collection,2018
"Fairway Capital Recovery, LLC",0.0,,2771066.0,,Debt collection,2018
"Fairway Collections, LLC",0.0,,3080250.0,,Debt collection,2018
Falls Collection Service Inc.,0.0,,2879316.0,,Debt collection,2018
"Farrell Holdings, LLC",0.0,,2937241.0,,Debt collection,2018
FastBucks,0.0,,2864946.0,,Debt collection,2018
"Fay Servicing, LLC",0.0,,2773871.0,,Debt collection,2018
"Federal Adjustment Bureau, Inc.",0.0,,2830068.0,,Debt collection,2018
Federated Capital Corporation,0.0,,3000664.0,,Debt collection,2018
Federated Law Group,0.0,,2802467.0,,Debt collection,2018
"Fein, Such, Kahn & Shepard, P.C.",0.0,,2782935.0,,Debt collection,2018
"Feldman & Stern, LLC",0.0,,2840121.0,,Debt collection,2018
"Felt & Lukes, LLC",0.0,,3108877.0,,Debt collection,2018
"Fenton & McGarvey Law Firm, P.S.C.",0.0,,2769027.0,,Debt collection,2018
Fidelity Account Services LLC,0.0,,3022705.0,,Debt collection,2018
"Fidelity National Financial, Inc",0.0,,2840227.0,,Debt collection,2018
"Fidelity National Information Services, Inc. (FNIS)",0.0,,8369127.0,,Debt collection,2018
Fidelity Properties Inc.,0.0,,2777586.0,,Debt collection,2018
Finance Authority of Maine,0.0,,3094818.0,,Debt collection,2018
"Finance System of Green Bay, Inc.",0.0,,2804267.0,,Debt collection,2018
"Finance System of Richmond, Inc.",0.0,,2769474.0,,Debt collection,2018
"Finance System of Toledo, Inc.",0.0,,2908964.0,,Debt collection,2018
Finance of America Holdings LLC,0.0,,2823960.0,,Debt collection,2018
Financial Accounts Service Team Inc.,0.0,,2774973.0,,Debt collection,2018
"Financial Adjustment Bureau, Inc.",0.0,,2871364.0,,Debt collection,2018
Financial Asset Management Systems Inc,0.0,,2772733.0,,Debt collection,2018
Financial Assistance Inc,0.0,,2812565.0,,Debt collection,2018
Financial Business and Consumer Solutions.,0.0,,2771293.0,,Debt collection,2018
Financial Corporation of America,0.0,,2810927.0,,Debt collection,2018
Financial Credit Network Inc,0.0,,2771708.0,,Debt collection,2018
"Financial Credit Service, Inc.",0.0,,2770075.0,,Debt collection,2018
Financial Data Systems,0.0,,2774674.0,,Debt collection,2018
Financial Management Solutions,0.0,,2823657.0,,Debt collection,2018
"Financial Recoveries, Inc.",0.0,,2810055.0,,Debt collection,2018
"Financial Recovery Services, Inc.",0.0,,2787164.0,,Debt collection,2018
Financial Solution Providers LLC,0.0,,2819612.0,,Debt collection,2018
Financial Solutions of America Inc.,0.0,,3017451.0,,Debt collection,2018
"Finkelstein, Kern, Steinberg & Cunningham, PC",0.0,,2828647.0,,Debt collection,2018
First Advantage LNS Inc.,0.0,,2775037.0,,Debt collection,2018
"First American Solutions, LLC",0.0,,2843244.0,,Debt collection,2018
First Associates Loan Servicing LLC,0.0,,2986185.0,,Debt collection,2018
First Consumers Financial LLC,0.0,,2896292.0,,Debt collection,2018
First Credit Services Inc.,0.0,,2769889.0,,Debt collection,2018
First Data Corporation,0.0,,2771169.0,,Debt collection,2018
First Federal Credit Control,0.0,,2771585.0,,Debt collection,2018
"First Financial Resources, Inc.",0.0,,2828839.0,,Debt collection,2018
"First Financial of Columbia, Inc",0.0,,2933331.0,,Debt collection,2018
"First Investors Financial Services Group, Inc.",0.0,,2830690.0,,Debt collection,2018
"First National Collection Bureau, Inc.",0.0,,2795515.0,,Debt collection,2018
"First Premier Financial, Inc.",0.0,,2812563.0,,Debt collection,2018
"First Service Residential, Nevada, LLC",0.0,,2798830.0,,Debt collection,2018
First Student Services,0.0,,2948121.0,,Debt collection,2018
First Technology Federal Credit Union,0.0,,2998279.0,,Debt collection,2018
"First Texas Auto Credit, Inc.",0.0,,2966380.0,,Debt collection,2018
"FirstCollect, Inc.",0.0,,2804979.0,,Debt collection,2018
"FirstKey Holdings, LLC",0.0,,2801842.0,,Debt collection,2018
"FirstLine Financial, Inc.",0.0,,2840097.0,,Debt collection,2018
FirstPoint Collection Resources,0.0,,5541964.0,,Debt collection,2018
"Firstsource Business Process Services, LLC",0.0,,2769629.0,,Debt collection,2018
"Fitzgerald Goldman & Associates, Inc.",0.0,,2888936.0,,Debt collection,2018
Five Lakes Agency,0.0,,2847799.0,,Debt collection,2018
Flagship Financial Group,0.0,,3008856.0,,Debt collection,2018
Focus Holding Company,0.0,,2772447.0,,Debt collection,2018
"Focused Recovery Solutions, Inc.",0.0,,5594078.0,,Debt collection,2018
Foreman Financial Inc.,0.0,,3059981.0,,Debt collection,2018
Forest Recovery Services LLC,0.0,,2833200.0,,Debt collection,2018
Forster & Garbus LLP,0.0,,2789891.0,,Debt collection,2018
"Forster, Garbus and Garbus",0.0,,2778377.0,,Debt collection,2018
Fort Payne Finance Co. Inc.,0.0,,2782149.0,,Debt collection,2018
"Fountain, Schultz & Associates, P.L.",0.0,,2968789.0,,Debt collection,2018
Fowler Bell PLLC,0.0,,2836731.0,,Debt collection,2018
Fradkin & Weber PA,0.0,,2815067.0,,Debt collection,2018
"Franklin Collection Service, Inc.",0.0,,2769691.0,,Debt collection,2018
Franklin Credit Management Corporation,0.0,,2801387.0,,Debt collection,2018
Freedom Mortgage Company,0.0,,2778648.0,,Debt collection,2018
Fresno Credit Bureau,0.0,,2772396.0,,Debt collection,2018
"Friedman & Associates, LLC",0.0,,2837762.0,,Debt collection,2018
Friendly Finance Corporation,0.0,,2895181.0,,Debt collection,2018
"Frontline Asset Strategies, LLC",0.0,,2784634.0,,Debt collection,2018
Frost-Arnett Company,0.0,,2777079.0,,Debt collection,2018
"Fulkerson Wing, P.C.",0.0,,2991682.0,,Debt collection,2018
"Full Circle Financial Services, LLC",0.0,,2999118.0,,Debt collection,2018
Fulton Friedman & Gullace LLP,0.0,,3011208.0,,Debt collection,2018
"G&P Enterprises, LLC",0.0,,2850142.0,,Debt collection,2018
"G. Reynolds Sims & Associates, P. C.",0.0,,2806449.0,,Debt collection,2018
"GAMACHE & MYERS, PC",0.0,,2888190.0,,Debt collection,2018
GATEWAY FIRST BANK,0.0,,3097427.0,,Debt collection,2018
"GB Collects, LLC",0.0,,2955768.0,,Debt collection,2018
GC Services Limited Partnership,0.0,,2777596.0,,Debt collection,2018
"GCFS, Inc.",0.0,,2874099.0,,Debt collection,2018
GENTRY FINANCE CORPORATION,0.0,,2869580.0,,Debt collection,2018
"GFS II, LLC",0.0,,2846029.0,,Debt collection,2018
"GFS, Inc.",0.0,,2977751.0,,Debt collection,2018
"GLA Collection Company, Inc.",0.0,,5545552.0,,Debt collection,2018
"GLENN ASSOCIATES MID-ATLANTIC, INC",0.0,,2861243.0,,Debt collection,2018
"GLOBAL CLIENT SOLUTIONS, LLC",0.0,,2885847.0,,Debt collection,2018
"GMA Investments, LLC",0.0,,2772026.0,,Debt collection,2018
"GMFS, LLC",0.0,,2911513.0,,Debt collection,2018
"GOLD KEY CREDIT, INC.",0.0,,2772629.0,,Debt collection,2018
"GOLDEN 1 CREDIT UNION, THE",0.0,,3011625.0,,Debt collection,2018
GOLDMAN SACHS BANK USA,0.0,,2814979.0,,Debt collection,2018
GRANITE STATE MANAGEMENT & RESOURCES,0.0,,2776270.0,,Debt collection,2018
GREAT LAKES,0.0,,2773357.0,,Debt collection,2018
GSA Commercial Asset Management,0.0,,2960757.0,,Debt collection,2018
"GUARDIAN CAPITAL MANAGEMENT HAWAII, LLC",0.0,,2781532.0,,Debt collection,2018
"GULF COAST COLLECTION BUREAU, INC.",0.0,,2773931.0,,Debt collection,2018
"GVA Holdings, LLC",0.0,,2804188.0,,Debt collection,2018
Gaba Law Corporation,0.0,,2918892.0,,Debt collection,2018
"Galaxy Capital Acquisitions, LLC",0.0,,2797447.0,,Debt collection,2018
"Garner & Conner, PLLC",0.0,,2774958.0,,Debt collection,2018
Garrison Investment Group,0.0,,2781765.0,,Debt collection,2018
"Gaskell & Giovannini, LLC",0.0,,2981477.0,,Debt collection,2018
Gatestone & Co. International Inc.,0.0,,2772477.0,,Debt collection,2018
Gateway Recovery Solutions,0.0,,2798597.0,,Debt collection,2018
"General Business Recoveries, Inc.",0.0,,2782773.0,,Debt collection,2018
General Collection Co.,0.0,,3006351.0,,Debt collection,2018
"General Collections & Recoveries, Inc.",0.0,,2876523.0,,Debt collection,2018
General Credit Service Inc.,0.0,,2996992.0,,Debt collection,2018
General Credit Services,0.0,,2980097.0,,Debt collection,2018
"General Financial, Inc.",0.0,,2769882.0,,Debt collection,2018
"General Motors Financial Company, Inc.",0.0,,2783003.0,,Debt collection,2018
"General Recovery Services of WV, Inc.",0.0,,2806344.0,,Debt collection,2018
"General Service Bureau, Inc.",0.0,,2821224.0,,Debt collection,2018
"Genesis Credit Management, LLC",0.0,,2771257.0,,Debt collection,2018
"Genesis Financial & Payment Systems Holdings, LLC",0.0,,3069494.0,,Debt collection,2018
"Genesys National Recovery, Inc.",0.0,,2900877.0,,Debt collection,2018
Genpact Limited,0.0,,2856102.0,,Debt collection,2018
Georgia Student Finance Authority,0.0,,3031981.0,,Debt collection,2018
